,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
402,20/02/2020,20,2,2020,0,0,Austria,AT
403,19/02/2020,19,2,2020,0,0,Austria,AT
404,18/02/2020,18,2,2020,0,0,Austria,AT
405,17/02/2020,17,2,2020,0,0,Austria,AT
406,16/02/2020,16,2,2020,0,0,Austria,AT
407,15/02/2020,15,2,2020,0,0,Austria,AT
408,14/02/2020,14,2,2020,0,0,Austria,AT
409,13/02/2020,13,2,2020,0,0,Austria,AT
410,12/02/2020,12,2,2020,0,0,Austria,AT
411,11/02/2020,11,2,2020,0,0,Austria,AT
412,10/02/2020,10,2,2020,0,0,Austria,AT
413,09/02/2020,9,2,2020,0,0,Austria,AT
414,08/02/2020,8,2,2020,0,0,Austria,AT
415,07/02/2020,7,2,2020,0,0,Austria,AT
416,06/02/2020,6,2,2020,0,0,Austria,AT
417,05/02/2020,5,2,2020,0,0,Austria,AT
418,04/02/2020,4,2,2020,0,0,Austria,AT
419,03/02/2020,3,2,2020,0,0,Austria,AT
420,02/02/2020,2,2,2020,0,0,Austria,AT
421,01/02/2020,1,2,2020,0,0,Austria,AT
422,31/01/2020,31,1,2020,0,0,Austria,AT
423,30/01/2020,30,1,2020,0,0,Austria,AT
424,29/01/2020,29,1,2020,0,0,Austria,AT
425,28/01/2020,28,1,2020,0,0,Austria,AT
426,27/01/2020,27,1,2020,0,0,Austria,AT
427,26/01/2020,26,1,2020,0,0,Austria,AT
428,25/01/2020,25,1,2020,0,0,Austria,AT
429,24/01/2020,24,1,2020,0,0,Austria,AT
430,23/01/2020,23,1,2020,0,0,Austria,AT
431,22/01/2020,22,1,2020,0,0,Austria,AT
432,21/01/2020,21,1,2020,0,0,Austria,AT
433,20/01/2020,20,1,2020,0,0,Austria,AT
434,19/01/2020,19,1,2020,0,0,Austria,AT
435,18/01/2020,18,1,2020,0,0,Austria,AT
436,17/01/2020,17,1,2020,0,0,Austria,AT
437,16/01/2020,16,1,2020,0,0,Austria,AT
438,15/01/2020,15,1,2020,0,0,Austria,AT
439,14/01/2020,14,1,2020,0,0,Austria,AT
440,13/01/2020,13,1,2020,0,0,Austria,AT
441,12/01/2020,12,1,2020,0,0,Austria,AT
442,11/01/2020,11,1,2020,0,0,Austria,AT
443,10/01/2020,10,1,2020,0,0,Austria,AT
444,09/01/2020,9,1,2020,0,0,Austria,AT
445,08/01/2020,8,1,2020,0,0,Austria,AT
446,07/01/2020,7,1,2020,0,0,Austria,AT
447,06/01/2020,6,1,2020,0,0,Austria,AT
448,05/01/2020,5,1,2020,0,0,Austria,AT
449,04/01/2020,4,1,2020,0,0,Austria,AT
450,03/01/2020,3,1,2020,0,0,Austria,AT
451,02/01/2020,2,1,2020,0,0,Austria,AT
452,01/01/2020,1,1,2020,0,0,Austria,AT
453,31/12/2019,31,12,2019,0,0,Austria,AT
454,24/03/2020,24,3,2020,7,0,Azerbaijan,AZ
455,23/03/2020,23,3,2020,12,0,Azerbaijan,AZ
456,22/03/2020,22,3,2020,9,0,Azerbaijan,AZ
457,21/03/2020,21,3,2020,0,1,Azerbaijan,AZ
458,20/03/2020,20,3,2020,10,0,Azerbaijan,AZ
459,19/03/2020,19,3,2020,6,0,Azerbaijan,AZ
460,18/03/2020,18,3,2020,9,0,Azerbaijan,AZ
461,17/03/2020,17,3,2020,0,0,Azerbaijan,AZ
462,16/03/2020,16,3,2020,0,0,Azerbaijan,AZ
463,15/03/2020,15,3,2020,6,0,Azerbaijan,AZ
464,13/03/2020,13,3,2020,0,0,Azerbaijan,AZ
465,12/03/2020,12,3,2020,2,0,Azerbaijan,AZ
466,11/03/2020,11,3,2020,2,0,Azerbaijan,AZ
467,07/03/2020,7,3,2020,3,0,Azerbaijan,AZ
468,06/03/2020,6,3,2020,3,0,Azerbaijan,AZ
469,02/03/2020,2,3,2020,2,0,Azerbaijan,AZ
470,01/03/2020,1,3,2020,0,0,Azerbaijan,AZ
471,29/02/2020,29,2,2020,1,0,Azerbaijan,AZ
472,28/02/2020,28,2,2020,0,0,Azerbaijan,AZ
473,27/02/2020,27,2,2020,0,0,Azerbaijan,AZ
474,26/02/2020,26,2,2020,0,0,Azerbaijan,AZ
475,25/02/2020,25,2,2020,0,0,Azerbaijan,AZ
476,24/02/2020,24,2,2020,0,0,Azerbaijan,AZ
477,23/02/2020,23,2,2020,0,0,Azerbaijan,AZ
478,22/02/2020,22,2,2020,0,0,Azerbaijan,AZ
479,21/02/2020,21,2,2020,0,0,Azerbaijan,AZ
480,20/02/2020,20,2,2020,0,0,Azerbaijan,AZ
481,19/02/2020,19,2,2020,0,0,Azerbaijan,AZ
482,18/02/2020,18,2,2020,0,0,Azerbaijan,AZ
483,17/02/2020,17,2,2020,0,0,Azerbaijan,AZ
484,16/02/2020,16,2,2020,0,0,Azerbaijan,AZ
